CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8500","HIST 380","1","Later Middle Ages","3","","Lec","TR","1500-1615","MCM 316","Cartwright, Charlotte","0","Closed",
"8501","HIST 395"," 1","SPC TP: Med &amp; African American","3","","Lec","MWF","0900-0950","MCM 162","Wood, Elizabeth","4","Open",
"8502","HIST 403","1","Ancient Persia","3","","Lec","TR","1330-1445","MCM 200C","Hyland, John","0","Closed",
"8503","HIST 435","1","Public History","3","","Lec","MWF","1000-1050","MCM 310","Shuck-Hall, Sheri","4","Open",
"8504","HIST 479","1","(De)Colonizing the Middle East","3","","Lec","T","1800-2045","MCM 310","Stenner, David","3","Open",
"8505","HIST 480","1","The US as a World Power","3","","Lec","MWF","1000-1050","MCM 366","Falk, Andrew","0","Closed",
"8506","HIST 490","1","WI: Senior Seminar","3","  WI","Lec","M","1930-2215","MCM 312","Connell, William","2","Open",
"8507","HIST 490","2","WI: Senior Seminar","3","  WI","Lec","W","1800-2045","MCM 312","Black, Sara","1","Open",
"9201","HIST 491","1","Practicum","3","","Int","MW","1800-1915","ARR ","Shuck-Hall, Sheri","0","Closed",
"8508","HIST 530","1","The World Historian as Teacher","3","","Lec","W","1800-2045","MCM 316","Cartwright, Charlotte","10","Open",
"9124","HONR 010","1","First Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","0","Closed",
"9125","HONR 010","2","First Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","7","Open",
"9126","HONR 010","3","First Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","19","Open",
"9127","HONR 020","1","Second Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","0","Closed",
"9128","HONR 020","2","Second Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","11","Open",
"9129","HONR 020","3","Second Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","16","Open",
"9130","HONR 030","1","Third Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","0","Closed",
"9131","HONR 030","2","Third Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","0","Closed",
"9132","HONR 030","3","Third Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","18","Open",
"9133","HONR 040","1","Fourth Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","0","Closed",
"9134","HONR 040","2","Fourth Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","25","Open",
"9135","HONR 040","3","Fourth Year Activities","0","  HON","Fie","","","ARR ","Paul, Jay","23","Open",
