CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8658","FNAR 118","1","2D Design","3","","Lab","TR","0800-1020","FERG T195","Geiger, Peter","3","Open",
"8659","FNAR 118","2","2D Design","3","","Lab","MW","1400-1620","FERG 222","Stephenson, Barbara","1","Open",
"8660","FNAR 121","ON1","Drawing I","3","","Lab","MW","1030-1250","SYN ","Brahe, Christian","1","Open",
"8661","FNAR 128","ON1","Introduction to Digital Media","3","  AICE","Lab","TR","1400-1620","SYN ","Skees, Alan","1","Open",
"8665","FNAR 201","4","World Art in Context I","3","  AICE","Lec","MW","1500-1615","FERG 201","Stone, Ryan","3","Open",
"9400","FNAR 201","6","World Art in Context I","3","  AICE","Lec","TR","1630-1745","FERG 201","Stone, Ryan","0","Closed",
"8662","FNAR 201","ON1","World Art in Context I","3","  AICE","Lec","MWF","0900-0950","SYN ","Motta, Rosa","1","Open",
"8664","FNAR 201","ON2","World Art in Context I","3","  AICE","Lec","TR","1100-1215","SYN ","Erhardt, Michelle","0","Closed",
"8667","FNAR 202","1","World Arts in Context II","3","  AICE","Lec","MWF","1300-1350","MCM 216","Wampler, Michelle","2","Open",
"8668","FNAR 202","2","World Arts in Context II","3","  AICE","Lec","MWF","1500-1550","FORBES 3012","Wampler, Michelle","4","Open",
"8670","FNAR 202","ON2","World Arts in Context II","3","  AICE","Lec","MWF","1400-1450","SYN ","Richardson, Margaret","12","Open",
"8671","FNAR 205","ON1","Digital Photography","3","  AICE","Lab","MW","0800-1020","SYN ","Skees, Kristin","1","Open",
"8672","FNAR 224","1","Painting I","3","","Lab","TR","1400-1620","FERG T195","Harris, Christi","0","Closed",
"8673","FNAR 227","1","Darkroom Photography","3","","Lab","TR; TR","1030-1250; 1030-1250","FERG T191; FERG T195","Bavaria, Christopher","2","Open",
"8674","FNAR 227","2","Darkroom Photography","3","","Lab","TR; TR","1400-1620; 1400-1620","FERG T161; FERG T191","Bavaria, Christopher","3","Open",
"8675","FNAR 251","1","Sculpture I","3","","Lab","MW","1030-1250","FERG T161","Lytle, Ryan","3","Open",
"8676","FNAR 322","ON1","Figure Drawing","3","","Lab","MW","0800-1020","SYN ","Brahe, Christian","1","Open",
"8677","FNAR 333","ON1","Video Art","3","  AICE","Lab","MW","1030-1250","SYN ","Skees, Kristin","1","Open",
"8678","FNAR 334","ON1","Graphic Design Concepts","3","","Lab","TR","1030-1250","SYN ","Skees, Alan","0","Closed",
"8679","FNAR 336","ON1","Typography","3","","Lab","TR","0800-1020","SYN ","Skees, Alan","0","Closed",
"8680","FNAR 351","1","Advanced Sculpture","3","","Lab","MW","1030-1250","FERG T161","Lytle, Ryan","2","Open",
"8681","FNAR 374","ON1","Asian Art","3","  AICE","Lec","MWF","1200-1250","SYN ","Richardson, Margaret","0","Closed",
"9305","FNAR 388","1","Artist&#39;s Portfolio","3","","Stu","MW","1400-1620","FERG T195","Skees, Kristin","8","Open",
"9306","FNAR 388","2","Artist&#39;s Portfolio","3","","Stu","TR","1030-1250","FERG T161","Lytle, Ryan","7","Open",
"9468","FNAR 401","1","IND ST: Painting Portfolio","3","","Ind","","","ARR ","Harris, Christi","0","Closed",
"8683","FNAR 403","1","WI:Adv Topics: Northern Ren","3","  WI","Lec","TR","1330-1445","FERG 201","Erhardt, Michelle","1","Open",
"8685","FNAR 534","1","Theory &amp; Practice of Art Educ","3","","Lec","W","1630-1915","FERG T195","Stephenson, Barbara","7","Open",
"8937","FREN 101","1R","Beginning French I","3","","Lec","MWF","0800-0850","MCM 212","Siewe Seuchie, Patricia","7","Open",
"8938","FREN 101","2R","Beginning French I","3","","Lec","MWF","1200-1250","LUTR 142","Siewe Seuchie, Patricia","1","Open",
"8939","FREN 200","1R","Eff Comm in French","3","  LLFL","Lec","MWF","0900-0950","MCM 212","Siewe Seuchie, Patricia","0","Closed",
"8940","FREN 200","2R","Eff Comm in French","3","  LLFL","Lec","MWF","1300-1350","TRIB 208","Siewe Seuchie, Patricia","0","Closed",
"8941","FREN 200","3R","Eff Comm in French","3","  LLFL","Lec","MWF","0800-0850","MCM 160","Benham-Langdon, Rebecca","2","Open",
"8942","FREN 200","4R","Eff Comm in French","3","  LLFL","Lec","MWF","1000-1050","MCM 262","Ben-Othmane, Najoua","0","Closed",
"8943","FREN 201","ON1","Intermediate French I","3","  LLFL","Lec","MWF","1200-1250","SYN ","Larson, Sharon","1","Open",
"8944","FREN 201","ON2","Intermediate French I","3","  LLFL","Lec","MWF","1400-1450","SYN ","Mulryan, Michael","2","Open",
"8945","FREN 301","1R","Grammar and Composition","3","  LLFL","Lec","MWF","1400-1450","MCM 360","Larson, Sharon","7","Open",
"9228","FREN 395","1","SPC TP: Love, Prison &amp; Escape","3","  LLFL","Lec","MWF","1200-1250","TRIB 1210","Mulryan, Michael","3","Open",
"8947","GERM 101","1R","Beginning German I","3","","Lec","MWF","0900-0950","LUTR 142","McInnis, Brian","3","Open",
"8948","GERM 101","2R","Beginning German I","3","","Lec","MWF","1100-1150","LUTR 264","McInnis, Brian","6","Open",
"8949","GERM 200","1R","Effective Comm in German","3","  LLFL","Lec","MW","1600-1715","FERG 208","Seltzer, Karis","6","Open",
"8950","GERM 200","2R","Effective Comm in German","3","  LLFL","Lec","MWF","1400-1450","MCM 160","McInnis, Brian","0","Closed",
"8951","GERM 200","3R","Effective Comm in German","3","  LLFL","Lec","MWF","0900-0950","MCM 216","Deiulio, Laura","0","Closed",
"8952","GERM 200","4R","Effective Comm in German","3","  LLFL","Lec","MW","1800-1915","TRIB 1213","Seltzer, Karis","1","Open",
"8953","GERM 302","1R","Conversation and Comprehension","3","  LLFL","Lec","MWF","1000-1050","LUTR 137","McInnis, Brian","1","Open",
"8954","GERM 311","1R","German Cultural History I","3","  LLFL","Lec","MWF","1200-1250","MCM 362","Deiulio, Laura","4","Open",
"8955","GREK 102","ON1","Beginning Ancient Greek II","3","","Lec","MWF","1200-1250","SYN ","Padilla, Mark","20","Open",
"9334","HARP 433","ON1","Applied Music: Harp","2","","Lab","","","ARR ","Pike, Anastasia","0","Closed",
"9290","HBRW 101","1","Beginning Hebrew I","3","","Lec","TR","1800-1915","MCM 257","Freund, Richard","3","Open",
"8525","HIST 111","1","Ancient and Medieval World","3","  AIGM","Lec","MWF","0800-0850","MCM 162","Cartwright, Charlotte","0","Closed",
"8527","HIST 111","ON1","Ancient and Medieval World","3","  AIGM","Lec","TR","1500-1615","SYN ","Santoro, Anthony","0","Closed",
"8528","HIST 111","ON2","Ancient and Medieval World","3","  AIGM","Lec","TR","1630-1745","SYN ","Santoro, Anthony","4","Open",
"8526","HIST 111","ON3","Ancient and Medieval World","3","  AIGM","Lec","TR","0930-1045","SYN ","Hyland, John","1","Open",
"9419","HIST 111","ON4","Ancient and Medieval World","3","  AIGM","Lec","TR","1630-1745","SYN ","Cartwright, Charlotte","2","Open",
"8529","HIST 112","1","The Modern World","3","  AIGM","Lec","TR","0800-0915","MCM 164","Phillips, Rolande","2","Open",
"8534","HIST 112","6M","The Modern World","3","  AIGM","Lec","TR","1500-1615","LUTR 269","Stewart, Nathan","1","Open",
"8535","HIST 112","7","The Modern World","3","  AIGM","Lec","TR","1630-1745","FRMN 201","Phillips, Rolande","2","Open",
"8536","HIST 112","8M","The Modern World","3","  AIGM","Lec","MWF","1100-1150","LUTR 376","Harshman, Deirdre","0","Closed",
"8530","HIST 112","ON1","The Modern World","3","  AIGM","Lec","TR","1100-1215","SYN ","Xu, Xiaoqun","0","Closed",
"8531","HIST 112","ON2","The Modern World","3","  AIGM","Lec","TR","1330-1445","SYN ","Xu, Xiaoqun","1","Open",
